Date,Price,Open,High,Low,Vol.,Change %,,,,,,
21-03-2025,"2,591.40","2,642.00","2,651.10","2,576.85",3.47M,-1.58%,,,,,,
20-03-2025,"2,633.10","2,670.35","2,762.90","2,551.80",8.62M,0.30%,,,,,,
19-03-2025,"2,625.25","2,385.00","2,648.00","2,375.00",12.70M,10.47%,,,,,,
18-03-2025,"2,376.50","2,344.00","2,388.60","2,331.00",2.29M,2.34%,,,,,,
17-03-2025,"2,322.05","2,320.00","2,348.00","2,281.10",2.38M,0.26%,,,,,,
13-03-2025,"2,316.00","2,267.05","2,340.00","2,235.90",2.93M,2.66%,,,,,,
12-03-2025,"2,255.90","2,274.00","2,296.25","2,232.40",1.32M,0.00%,,,,,,
11-03-2025,"2,255.95","2,265.00","2,276.00","2,222.00",1.81M,-2.03%,,,,,,
10-03-2025,"2,302.70","2,344.70","2,364.55","2,286.90",1.72M,-1.52%,,,,,,
07-03-2025,"2,338.20","2,242.90","2,352.95","2,223.70",4.65M,4.27%,,,,,,
06-03-2025,"2,242.40","2,275.00","2,299.85","2,234.00",1.77M,-0.19%,,,,,,
05-03-2025,"2,246.70","2,170.00","2,255.00","2,151.05",2.92M,3.89%,,,,,,
04-03-2025,"2,162.50","2,125.55","2,272.00","2,123.15",4.11M,0.43%,,,,,,
03-03-2025,"2,153.15","2,148.00","2,177.80","2,100.00",2.65M,1.04%,,,,,,
28-02-2025,"2,131.05","2,070.00","2,151.00","2,047.90",2.93M,1.38%,,,,,,
27-02-2025,"2,101.95","2,131.00","2,149.50","2,086.00",1.41M,-1.00%,,,,,,
25-02-2025,"2,123.25","2,157.95","2,207.05","2,115.00",3.11M,-1.29%,,,,,,
24-02-2025,"2,151.05","2,079.00","2,186.20","2,056.45",4.31M,1.49%,,,,,,
21-02-2025,"2,119.45","2,145.80","2,219.85","2,106.00",3.00M,-1.62%,,,,,,
20-02-2025,"2,154.30","2,134.70","2,181.80","2,110.30",2.79M,-1.18%,,,,,,
19-02-2025,"2,180.10","1,940.00","2,196.80","1,918.05",8.34M,11.13%,,,,,,
18-02-2025,"1,961.75","2,087.00","2,103.00","1,943.50",3.81M,-5.83%,,,,,,
17-02-2025,"2,083.10","2,143.80","2,159.90","2,075.00",3.20M,-3.84%,,,,,,
14-02-2025,"2,166.35","2,238.00","2,253.00","2,154.55",3.83M,-2.04%,,,,,,
13-02-2025,"2,211.50","2,205.00","2,314.95","2,187.60",5.31M,0.98%,,,,,,
12-02-2025,"2,189.95","2,185.00","2,213.95","2,065.20",7.31M,0.22%,,,,,,
11-02-2025,"2,185.20","2,216.00","2,246.00","2,167.25",5.69M,-0.72%,,,,,,
10-02-2025,"2,201.15","2,248.00","2,439.90","2,162.00",14.99M,-1.30%,,,,,,
07-02-2025,"2,230.20","2,197.00","2,274.85","2,171.10",3.73M,1.44%,,,,,,
06-02-2025,"2,198.50","2,217.00","2,244.80","2,187.45",1.63M,-0.23%,,,,,,
05-02-2025,"2,203.50","2,227.00","2,263.30","2,195.10",1.87M,0.33%,,,,,,
04-02-2025,"2,196.25","2,270.00","2,298.75","2,170.00",3.51M,-1.70%,,,,,,
03-02-2025,"2,234.30","2,330.00","2,364.50","2,220.10",3.31M,-6.11%,,,,,,
01-02-2025,"2,379.70","2,509.65","2,587.30","2,323.05",7.47M,-4.75%,,,,,,
